epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,741.207,2.31182,1.64701,1.00318,0.43011,0.56111,0.36027,0.10797,1.80811,2.71591,0.83869,0.0013928,0.0013928,0.0013928
94,748.693,2.32407,1.64803,1.01137,0.4466,0.56667,0.42842,0.12127,1.77813,4.03891,0.85354,0.0013862,0.0013862,0.0013862
95,757.663,2.19512,1.57013,1.03234,0.43553,0.56667,0.40897,0.12845,1.83457,2.3608,0.84361,0.0013796,0.0013796,0.0013796
96,766.81,2.24359,1.54504,0.98996,0.52118,0.59261,0.4476,0.13705,1.79458,2.5393,0.85275,0.001373,0.001373,0.001373
97,774.917,2.23263,1.64639,0.99,0.53579,0.57778,0.48584,0.15986,1.85339,4.12903,0.86463,0.0013664,0.0013664,0.0013664
98,783.218,2.2119,1.58489,0.98956,0.43051,0.55,0.37071,0.12096,1.90129,3.6676,0.86174,0.0013598,0.0013598,0.0013598
99,791.98,2.26559,1.64266,0.99871,0.52197,0.6,0.49796,0.15877,1.79895,4.49657,0.86811,0.0013532,0.0013532,0.0013532
100,800.76,2.24358,1.62684,0.98828,0.47447,0.57778,0.4291,0.1256,1.80275,3.05758,0.86539,0.0013466,0.0013466,0.0013466
101,808.852,2.18705,1.57286,1.03509,0.4568,0.57778,0.44471,0.1335,1.8069,4.29457,0.83972,0.00134,0.00134,0.00134
102,817.448,2.29359,1.58477,0.96417,0.48845,0.60556,0.42238,0.12305,1.88731,4.43014,0.85639,0.0013334,0.0013334,0.0013334
103,824.247,2.16804,1.52082,0.97864,0.51917,0.65384,0.50209,0.16661,1.70087,3.24109,0.81826,0.0013268,0.0013268,0.0013268
104,833.497,2.13278,1.54303,0.98228,0.41564,0.55,0.37708,0.1146,1.83177,4.36637,0.83701,0.0013202,0.0013202,0.0013202
105,842.834,2.18686,1.53634,0.96969,0.49747,0.52796,0.43694,0.14294,1.8246,2.60948,0.83666,0.0013136,0.0013136,0.0013136
106,851.738,2.20011,1.62108,0.99525,0.46184,0.54444,0.42966,0.14011,1.81714,2.19598,0.84404,0.001307,0.001307,0.001307
107,859.507,2.26069,1.60034,0.98803,0.4381,0.58333,0.39263,0.14025,1.75502,4.19189,0.82677,0.0013004,0.0013004,0.0013004
108,868.312,2.25419,1.43251,0.99921,0.55821,0.64444,0.522,0.16309,1.73892,2.72112,0.81684,0.0012938,0.0012938,0.0012938
109,877.609,2.18202,1.59974,0.98945,0.47747,0.58889,0.46228,0.12794,1.79252,5.85004,0.83807,0.0012872,0.0012872,0.0012872
110,886.561,2.19138,1.52166,0.99042,0.42317,0.61111,0.43145,0.13259,1.8046,4.657,0.85125,0.0012806,0.0012806,0.0012806
111,895.224,2.24842,1.49281,1.00179,0.49347,0.6,0.42026,0.12971,1.85404,3.29136,0.86481,0.001274,0.001274,0.001274
112,903.756,2.24705,1.56269,0.99549,0.4963,0.59444,0.4481,0.15037,1.75199,2.94374,0.83683,0.0012674,0.0012674,0.0012674
113,911.319,2.21719,1.55717,0.96245,0.51735,0.61111,0.45779,0.1495,1.81411,3.65465,0.83031,0.0012608,0.0012608,0.0012608
114,919.794,2.17904,1.58422,0.96696,0.51943,0.58333,0.42495,0.13661,1.75848,2.98216,0.82182,0.0012542,0.0012542,0.0012542
115,928.443,2.19907,1.5531,0.99242,0.51246,0.56111,0.45036,0.14857,1.86641,3.71732,0.8706,0.0012476,0.0012476,0.0012476
116,936.753,2.26953,1.63889,1.00578,0.47008,0.52778,0.39268,0.11549,1.9136,3.2837,0.87255,0.001241,0.001241,0.001241
117,946.34,2.153,1.47425,0.95735,0.49689,0.6,0.43485,0.14235,1.70341,5.31132,0.8132,0.0012344,0.0012344,0.0012344
118,955.39,2.13159,1.53244,0.97096,0.5594,0.60556,0.5203,0.16319,1.73641,3.83059,0.82322,0.0012278,0.0012278,0.0012278
119,964.827,2.26904,1.67069,0.99813,0.48974,0.63333,0.49505,0.15313,1.74248,4.09318,0.82117,0.0012212,0.0012212,0.0012212
120,973.778,2.21935,1.53401,0.98045,0.46888,0.57222,0.4018,0.14386,1.74769,2.50416,0.83842,0.0012146,0.0012146,0.0012146
121,982.672,2.18765,1.61333,1.02133,0.4931,0.6107,0.44602,0.14213,1.75133,3.35217,0.83358,0.001208,0.001208,0.001208
122,991.749,2.15581,1.56,0.99357,0.44427,0.57778,0.43122,0.14584,1.80207,3.75544,0.84726,0.0012014,0.0012014,0.0012014
123,1000.75,2.2585,1.6187,0.99279,0.49574,0.58889,0.49043,0.17521,1.67274,4.73077,0.82503,0.0011948,0.0011948,0.0011948
124,1009.95,2.17607,1.52937,0.96162,0.46761,0.66111,0.48053,0.1641,1.62123,4.75335,0.81605,0.0011882,0.0011882,0.0011882
125,1018.52,2.18421,1.53981,0.99267,0.42821,0.60556,0.4029,0.12883,1.76388,3.6137,0.83496,0.0011816,0.0011816,0.0011816
126,1027.01,2.14031,1.6431,0.98611,0.5027,0.55,0.4393,0.1357,1.77093,3.44741,0.84205,0.001175,0.001175,0.001175
127,1035.11,2.20453,1.52295,0.98365,0.50306,0.6,0.47422,0.12768,1.84652,3.46646,0.84057,0.0011684,0.0011684,0.0011684
128,1043.79,2.13743,1.45851,0.98362,0.50614,0.59784,0.46325,0.16638,1.70701,3.17175,0.82523,0.0011618,0.0011618,0.0011618
129,1052.85,2.13931,1.49133,0.96128,0.46152,0.62854,0.41923,0.14214,1.70758,4.9164,0.84034,0.0011552,0.0011552,0.0011552
130,1062.38,2.19096,1.46485,0.97004,0.48408,0.58889,0.42529,0.12507,1.74544,2.28,0.84101,0.0011486,0.0011486,0.0011486
131,1071.54,2.21512,1.52362,0.97574,0.44284,0.61111,0.40546,0.14242,1.76237,6.87987,0.85425,0.001142,0.001142,0.001142
