epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,2874.58,1.7565,1.43903,1.14606,0.40684,0.68588,0.45794,0.16381,2.00927,1.98859,1.17124,0.001175,0.001175,0.001175
127,2897.26,1.71117,1.39193,1.11348,0.48579,0.71667,0.55181,0.20726,2.1682,1.98873,1.18553,0.0011684,0.0011684,0.0011684
128,2920.13,1.72948,1.3957,1.13943,0.39466,0.68889,0.47083,0.1598,2.21744,2.43795,1.22046,0.0011618,0.0011618,0.0011618
129,2943.04,1.78451,1.40887,1.11907,0.52071,0.60556,0.52209,0.18289,2.31162,5.50834,1.26046,0.0011552,0.0011552,0.0011552
130,2965.72,1.79232,1.37982,1.12147,0.37205,0.65,0.37497,0.12469,2.24826,3.36098,1.22221,0.0011486,0.0011486,0.0011486
131,2988.58,1.81504,1.42096,1.12683,0.47396,0.61111,0.47167,0.15578,2.34861,2.41729,1.24065,0.001142,0.001142,0.001142
132,3011.3,1.775,1.39119,1.1229,0.38067,0.67271,0.45086,0.16555,2.22721,2.65683,1.19438,0.0011354,0.0011354,0.0011354
133,3033.91,1.74523,1.39215,1.115,0.45156,0.67222,0.5325,0.21614,2.21009,1.96964,1.19576,0.0011288,0.0011288,0.0011288
134,3056.79,1.76102,1.38649,1.10763,0.41092,0.64444,0.47155,0.18298,2.22664,3.13853,1.19487,0.0011222,0.0011222,0.0011222
135,3079.7,1.7915,1.43934,1.14518,0.51288,0.65514,0.56071,0.19801,2.20434,2.0759,1.21057,0.0011156,0.0011156,0.0011156
136,3102.28,1.75498,1.39217,1.11859,0.61586,0.57778,0.55074,0.19714,2.31648,2.54719,1.27548,0.001109,0.001109,0.001109
137,3124.93,1.70995,1.33926,1.09899,0.36585,0.68889,0.41357,0.14493,2.28089,2.32156,1.26255,0.0011024,0.0011024,0.0011024
138,3147.72,1.80539,1.37147,1.12965,0.3942,0.66667,0.45853,0.1759,2.21947,2.76558,1.22877,0.0010958,0.0010958,0.0010958
139,3170.45,1.73635,1.32488,1.12506,0.40147,0.65,0.44932,0.17142,2.16796,2.83914,1.2008,0.0010892,0.0010892,0.0010892
140,3193.28,1.73543,1.37842,1.09154,0.44462,0.71606,0.52366,0.17499,2.26678,2.39284,1.2355,0.0010826,0.0010826,0.0010826
141,3216.2,1.78548,1.4086,1.12243,0.39629,0.65556,0.43799,0.16957,2.14729,1.85885,1.19824,0.001076,0.001076,0.001076
142,3239.29,1.75715,1.35885,1.13291,0.39487,0.67222,0.43349,0.15938,2.21612,2.08694,1.1957,0.0010694,0.0010694,0.0010694
143,3262.08,1.74727,1.33957,1.11661,0.59887,0.67222,0.60199,0.24883,2.12467,1.77531,1.17224,0.0010628,0.0010628,0.0010628
144,3284.79,1.73794,1.37878,1.08487,0.54347,0.63889,0.5667,0.23574,2.0559,2.63729,1.1712,0.0010562,0.0010562,0.0010562
145,3307.66,1.76782,1.35719,1.11471,0.41549,0.60422,0.47696,0.17121,2.29508,2.51258,1.26584,0.0010496,0.0010496,0.0010496
146,3330.48,1.71768,1.34716,1.12453,0.49792,0.58333,0.53289,0.20353,2.25795,3.62446,1.23017,0.001043,0.001043,0.001043
147,3353.45,1.78004,1.37877,1.13289,0.36631,0.66667,0.43132,0.15561,2.28621,2.53787,1.24195,0.0010364,0.0010364,0.0010364
